câu đối	distich	0	0	0
cầu nổi	pontoon	0	0	0
cây thúy cúc	aster	0	0	0
chai rượu lớn chừng hai lít	magnum	0	0	0
chàm	eczematous	0	0	0
châm ngôn	gnomic	0	0	0
chậm rải	andante	0	0	0
chăm sóc chân	pedicure	0	0	0
chẩn bịnh	auscultate	0	0	0
chẩn mạch	palpate	0	0	0
chấn tâm	epicenter	0	0	0
chánh thức	putative	0	0	0
chánh trị thần quyền	theocracy	0	0	0
chất bạc	argent	0	0	0
chất cặn	residue	0	0	0
chất đản bạch	peptone	0	0	0
chất gây dị ứng	allergen	0	0	0
chất hóa học	phosphor	0	0	0
chất hóa học	vitriol	0	0	0
chất khai quang	defoliant	0	0	0
chất làm mềm	emollient	0	0	0
chất nôn	vomitus	0	0	0
chất pha loảng	diluent	0	0	0
chất sừng	keratin	0	0	0
chất tẩy rửa	detergent	0	0	0
chất xúc tác	catalyst	0	0	0
Châu Âu	Europe	0	0	0
chậu rửa mặt	lavatory	0	0	0
cháy	ardent	0	0	0
chảy ra	exude	0	0	0
che	cover	0	0	0
chê	reprobate	0	0	0
chê bai	decry	0	0	0
chế độ chỉ có một chồng thôi	monandry	0	0	0
chế độ nội hôn	endogamy	0	0	0
chế nhạo	epigrammatic	0	0	0
chỉ bịnh sốt rét năm ngày một cơn	quintan	0	0	0
chí điểm	solstice	0	0	0
chỉ người bốn mươi hay ngoài bốn mươi tuổi	quadragenarian	0	0	0
chỉ rỏ	denotation	0	0	0
chỉ số gấp rưởi số khác	sesquialteral	0	0	0
chỉ số năm	quinary	0	0	0
chi tiểu hồi hương	Foeniculum	0	0	0
chỉ trích	censure	0	0	0
chia bốn được	quaternary	0	0	0
chiếu cố	condescend	0	0	0
chim rẽ nước	phalarope	0	0	0
chim tước	passerine	0	0	0
chim ưng	falcon	0	0	0
chỉnh hình	orthopedic	0	0	0
chinh phục	subjugate	0	0	0
chỉnh răng	orthodontics	0	0	0
chịu khổ hạnh	crucify	0	0	0
chịu phần	redound	0	0	0
chịu trách nhiệm	amenable	0	0	0
chổ chia hai	bifurcation	0	0	0
cho con bú	lactation	0	0	0
cho đã thèm	sate	0	0	0
chổ lộn xộn	pandemonium	0	0	0
chổ mòn vì cọ xát	detrition	0	0	0
chổ ngắt hơi	caesura	0	0	0
chổ phỏng	scald	0	0	0
chổ rách	laceration	0	0	0
chổ rất cao	apogee	0	0	0
chổ trốn	coverture	0	0	0
chọc ối	amniocentesis	0	0	0
chọn món ăn	gastronomic	0	0	0
chống chỉ định	contraindicate	0	0	0
chống loạn nhịp	antiarrhythmic	0	0	0
chốt để chận	detent	0	0	0
chữ dùng để chỉ phải nối liền	legato	0	0	0
chữ hoa	majuscule	0	0	0
chữ kết lại thành một âm	digraph	0	0	0
chủ nghỉa phát xít	fascism	0	0	0
chúa Ophiophagus	Ophiophagus	0	0	0
chức chấp chánh tam đầu chế	triumvirate	0	0	0
chức ngồi không ăn lương	sinecure	0	0	0
chức tổng giám mục	archdiocese	0	0	0
chức vụ	regency	0	0	0
chứng bịnh kiết lỵ	dysentery	0	0	0
chưng cất	distillation	0	0	0
chứng dể xuất huyết	hemophilia	0	0	0
chứng điên hay đốt nhà	pyromania	0	0	0
chứng động kinh	convulsion	0	0	0
chứng hay quên	amnesia	0	0	0
chứng khó tiêu	dyspepsia	0	0	0
chứng màng nhĩ	tympanum	0	0	0
chứng ngạnh kết	sclerosis	0	0	0
chứng ngủ rũ	narcolepsy	0	0	0
chứng phong thấp	rheumatism	0	0	0
chung quanh lá cuống	pinnate	0	0	0
chủng sinh	seminarian	0	0	0
chứng sưng thận	nephritis	0	0	0
chứng tỏ	evince	0	0	0
chứng từ	voucher	0	0	0
chủng viện	seminary	0	0	0
chứng xưng mắt	ophthalmia	0	0	0
chuộc tội	expiate	0	0	0
chưởi	inveigh	0	0	0
chưởi rủa	vituperate	0	0	0
chưởi rủa	revile	0	0	0
chướng	distension	0	0	0
Chụp cắt lớp	tomography	0	0	0
chuyện hoang đường	fable	0	0	0
chuyển thành con nhộng	pupate	0	0	0
chuyên trị bệnh tật của người già	geriatrics	0	0	0
cớ	plea	0	0	0
cổ áo	collar	0	0	0
có bốn chân	quadruped	0	0	0
cơ bucinator	bucinator muscle	0	0	0
có bùn	turbid	0	0	0
cơ cạnh không đều	scalene muscles	0	0	0
cổ chân	tarsal	0	0	0
có cơn	remittent	0	0	0
có đầu dài	dolichocephalic	0	0	0
có điềm xấu	portentous	0	0	0
có điều nhiệt	thermostatic	0	0	0
có độc	nocuous	0	0	0
cô độc	solitary	0	0	0
cô đơn	desolate	0	0	0
co đồng tử	miosis	0	0	0
cơ gấp	flexor	0	0	0
có hại	noxious	0	0	0
có hai đầu nhọn	bicuspid	0	0	0
có hàm chất than	Carboniferous	0	0	0
có hạn	finite	0	0	0
có hiệu lực	effective	0	0	0
có hiệu lực	effectual	0	0	0
có hiệu lực	valid	0	0	0
có hình bình hành	rhomboid	0	0	0
có hình củ hành	bulbous	0	0	0
có hình giống mỏ chim	rostral	0	0	0
có hình khối	cuboid	0	0	0
có hình nón	conic	0	0	0
có hình tam giác	deltoid	0	0	0
cơ hoành	diaphragm	0	0	0
cơ học	mechanics	0	0	0
có hột giống	seminiferous	0	0	0
có khả năng	capable	0	0	0
co lại	astringent	0	0	0
có lổi	peccant	0	0	0
có lông cứng	setose	0	0	0
có lửa	igneous	0	0	0
có mào	cristate	0	0	0
có mồ hôi	sudoriferous	0	0	0
có móng	ungulate	0	0	0
có mùi thơm	odoriferous	0	0	0
có mùi vị hôi	rancid	0	0	0
có nhiều	exuberate	0	0	0
có nhiều	abound	0	0	0
có nhiều mưa	pluvial	0	0	0
